 Fields to use
 Latitude range and number of values        58.000    65.000        36
 Longitude range and number of values        2.000     8.000        31
 Contour level to plot and color          90.0
 Contour level to plot and color          50.0
 Contour level to plot and color          20.0
 Contour level to plot and color           5.0
 Contour level to plot and color           2.0
 Contour level to plot and color           1.8
 Contour level to plot and color           1.6
 Contour level to plot and color           1.4
 Contour level to plot and color           1.2
 Contour level to plot and color           1.0
 Contour level to plot and color           0.9
 Contour level to plot and color           0.8
 Contour level to plot and color           0.7
 Contour level to plot and color           0.6
 Contour level to plot and color           0.5
 Contour level to plot and color           0.4
 Contour level to plot and color           0.3
 Contour level to plot and color           0.2
 Contour level to plot and color           0.1
   7.00000000       60.5999985       8.71157169    
   7.20000029       60.5999985       9.33851433    
   7.40000010       60.5999985       9.98454952    
   7.59999990       60.5999985       10.6651335    
   7.80000019       60.5999985       11.3671083    
   8.00000000       60.5999985       12.0831718    
   2.00000000       60.7999992       6.06646204    
   2.20000005       60.7999992       5.77990341    
   2.40000010       60.7999992       5.49541759    
   2.59999990       60.7999992       5.21534252    
   2.79999995       60.7999992       4.94650936    
   3.00000000       60.7999992       4.69430065    
   3.20000005       60.7999992       4.48914337    
   3.40000010       60.7999992       4.30441952    
   3.59999990       60.7999992       4.14523649    
   3.79999995       60.7999992       4.01172876    
   4.00000000       60.7999992       3.88638067    
   4.19999981       60.7999992       3.80043840    
   4.40000010       60.7999992       3.74990726    
   4.59999990       60.7999992       3.72391009    
   4.80000019       60.7999992       3.72196364    
   5.00000000       60.7999992       3.75299144    
   5.19999981       60.7999992       3.84032655    
   5.40000010       60.7999992       3.99944758    
   5.59999990       60.7999992       4.24303770    
   5.80000019       60.7999992       4.57912016    
   6.00000000       60.7999992       5.00604725    
   6.20000029       60.7999992       5.51308203    
   6.40000010       60.7999992       6.07581902    
   6.59999990       60.7999992       6.69225740    
   6.80000019       60.7999992       7.35460424    
   7.00000000       60.7999992       8.05506516    
   7.20000029       60.7999992       8.78151321    
   7.40000010       60.7999992       9.50471783    
   7.59999990       60.7999992       10.2424746    
   7.80000019       60.7999992       10.9888229    
   8.00000000       60.7999992       11.7469683    
   2.00000000       61.0000000       5.67233372    
   2.20000005       61.0000000       5.35161638    
   2.40000010       61.0000000       5.02566004    
   2.59999990       61.0000000       4.70230389    
   2.79999995       61.0000000       4.38431644    
   3.00000000       61.0000000       4.07119942    
   3.20000005       61.0000000       3.76727009    
   3.40000010       61.0000000       3.49991584    
   3.59999990       61.0000000       3.25298619    
   3.79999995       61.0000000       3.01092100    
   4.00000000       61.0000000       2.78566575    
   4.19999981       61.0000000       2.59411287    
   4.40000010       61.0000000       2.44271183    
   4.59999990       61.0000000       2.33332682    
   4.80000019       61.0000000       2.21284676    
   5.00000000       61.0000000       2.10954905    
   5.19999981       61.0000000       2.19536376    
   5.40000010       61.0000000       2.50564957    
   5.59999990       61.0000000       2.98950720    
   5.80000019       61.0000000       3.58577037    
   6.00000000       61.0000000       4.24285507    
   6.20000029       61.0000000       4.91409397    
   6.40000010       61.0000000       5.57909822    
   6.59999990       61.0000000       6.25647354    
   6.80000019       61.0000000       6.96944332    
   7.00000000       61.0000000       7.71730661    
   7.20000029       61.0000000       8.49421978    
   7.40000010       61.0000000       9.25896168    
   7.59999990       61.0000000       10.0151825    
   7.80000019       61.0000000       10.7794456    
   8.00000000       61.0000000       11.5546350    
   2.00000000       61.2000008       5.40230942    
   2.20000005       61.2000008       5.05855656    
   2.40000010       61.2000008       4.70669031    
   2.59999990       61.2000008       4.35309744    
   2.79999995       61.2000008       4.00006437    
   3.00000000       61.2000008       3.64730453    
   3.20000005       61.2000008       3.29531217    
   3.40000010       61.2000008       2.94494224    
   3.59999990       61.2000008       2.60582614    
   3.79999995       61.2000008       2.26358962    
   4.00000000       61.2000008       1.92584848    
   4.19999981       61.2000008       1.60773969    
   4.40000010       61.2000008       1.31951344    
   4.59999990       61.2000008       1.06354070    
   4.80000019       61.2000008      0.821151972    
   5.00000000       61.2000008      0.770040631    
   5.19999981       61.2000008       1.16786087    
   5.40000010       61.2000008       1.81876314    
   5.59999990       61.2000008       2.56643748    
   5.80000019       61.2000008       3.35964894    
   6.00000000       61.2000008       4.17057848    
   6.20000029       61.2000008       4.93789864    
   6.40000010       61.2000008       5.60113049    
   6.59999990       61.2000008       6.27085447    
   6.80000019       61.2000008       6.98585272    
   7.00000000       61.2000008       7.73128843    
   7.20000029       61.2000008       8.50046444    
   7.40000010       61.2000008       9.25592518    
   7.59999990       61.2000008       10.0050478    
   7.80000019       61.2000008       10.7629251    
   8.00000000       61.2000008       11.5278845    
   2.00000000       61.4000015       5.28272343    
   2.20000005       61.4000015       4.93304682    
   2.40000010       61.4000015       4.57847738    
   2.59999990       61.4000015       4.21883440    
   2.79999995       61.4000015       3.86030841    
   3.00000000       61.4000015       3.50230813    
   3.20000005       61.4000015       3.14576769    
   3.40000010       61.4000015       2.79205155    
   3.59999990       61.4000015       2.44439816    
   3.79999995       61.4000015       2.09073019    
   4.00000000       61.4000015       1.74018931    
   4.19999981       61.4000015       1.41689491    
   4.40000010       61.4000015       1.14792359    
   4.59999990       61.4000015      0.989546835    
   4.80000019       61.4000015       1.02903736    
   5.00000000       61.4000015       1.30845988    
   5.19999981       61.4000015       1.77627432    
   5.40000010       61.4000015       2.37049055    
   5.59999990       61.4000015       3.04406953    
   5.80000019       61.4000015       3.76084256    
   6.00000000       61.4000015       4.49207258    
   6.20000029       61.4000015       5.21435928    
   6.40000010       61.4000015       5.90999603    
   6.59999990       61.4000015       6.60778379    
   6.80000019       61.4000015       7.31885242    
   7.00000000       61.4000015       8.04622173    
   7.20000029       61.4000015       8.78791809    
   7.40000010       61.4000015       9.50696278    
   7.59999990       61.4000015       10.2329397    
   7.80000019       61.4000015       10.9573889    
   8.00000000       61.4000015       11.6850567    
   2.00000000       61.5999985       5.32589817    
   2.20000005       61.5999985       4.98970461    
   2.40000010       61.5999985       4.65618992    
   2.59999990       61.5999985       4.32222223    
   2.79999995       61.5999985       3.99170661    
   3.00000000       61.5999985       3.66963363    
   3.20000005       61.5999985       3.35963392    
   3.40000010       61.5999985       3.06696606    
   3.59999990       61.5999985       2.80058932    
   3.79999995       61.5999985       2.56881976    
   4.00000000       61.5999985       2.36585522    
   4.19999981       61.5999985       2.23578048    
   4.40000010       61.5999985       2.20049620    
   4.59999990       61.5999985       2.27671623    
   4.80000019       61.5999985       2.46842742    
   5.00000000       61.5999985       2.75750113    
   5.19999981       61.5999985       3.10476160    
   5.40000010       61.5999985       3.54248500    
